ID,Is_Lead
VBENBARO,0.07105713337659836
CCMEWNKY,0.35469033718109133
VK3KGA9M,0.06308118402957916
TT8RPZVC,0.02338508181273937
SHQZEYTZ,0.022700339555740356
MZZAQMPT,0.08122986108064652
Y88TW36I,0.08369136154651642
3UGOAQNU,0.05350269675254822
VVUKMUJT,0.9799641251564026
9R363ZXS,0.2516817718744278
BLISM6JE,0.05419148355722427
CH8S7JK7,0.3896448850631714
EAHDPXEJ,0.4934107780456543
BNUK9PRF,0.4799089014530182
GP2PG6FJ,0.05553764849901199
WNQCSN8A,0.03697540760040283
32DN4YVZ,0.6051205039024353
GXAMDANM,0.05370706617832184
MXETLUP4,0.07378880828619003
MPXK6TVE,0.6688466906547547
LBSIME2K,0.1778332144021988
D6ORJTM6,0.04824585616588593
HGDIBAKA,0.6126536130905151
UUZYL9DZ,0.5821962714195251
AUGE3VWK,0.05317390114068985
MX7GOX6Q,0.09462138265371323
TQN6K35W,0.06450142785906791
QQDRMQQN,0.6035805702209472
UP6GC6F4,0.052654848992824556
BMHBUVHB,0.720160973072052
KGLDW86A,0.1583136647939682
FQEOMOP4,0.18444716930389404
DYWM5MEU,0.2801744341850281
DXHGXV8F,0.054463069140911105
AVFBFQKC,0.2809133231639862
DBIDKYMV,0.1254791274666786
KYZHMEBY,0.3896314322948456
SSFEBUGF,0.05369454473257065
MGJTAG8X,0.6237532496452332
MP6BERDO,0.24066825807094575
GXZ8ED68,0.05346167832612991
ICTFGWQR,0.6822409868240357
EAYHTRKH,0.023146479204297066
6FN97QLQ,0.15023978054523468
3H5MZDDW,0.486891633272171
2DXZZWSN,0.0440968006849289
MM4QIRE5,0.07628663629293442
HJWVYXUA,0.24478140771389006
RBRSJUP3,0.5709127426147461
YFRQKGXW,0.5427743554115295
N3SADEBV,0.04389825612306595
G2A2YYXY,0.038702042773365974
XMGA3WT3,0.05899080708622932
KVZQPSGI,0.17902481853961943
UAKARBBG,0.04085225760936737
WYKKL85Z,0.36153531074523926
GHNYYGRR,0.15011539459228515
UBAJANWT,0.050851114094257355
LSARSF7U,0.020582225546240805
4CNSJVVR,0.3418203890323639
JRHJSWYO,0.41426266431808473
FHZ8SVVI,0.0719118058681488
JUIRE47M,0.17223318219184874
GDIVN2GL,0.05939390882849693
WMF3DYE3,0.5863840818405152
MAQEHEWK,0.28683139085769654
2W8DLKFU,0.05548192709684372
AKGRML6H,0.16629424691200256
B7WUUGCY,0.04607055634260178
TLJOYATM,0.5850770711898804
UH6ZDM3W,0.31671063899993895
7IP5SSRR,0.8035551190376282
PV85PMEB,0.6599936246871948
FGDOY4NI,0.20191713869571687
7YYIXJQE,0.06486862897872925
BHW42XPW,0.0535835936665535
3PKEEAT4,0.4497431695461273
ACFPZ3LM,0.054816854745149614
6GORGNYN,0.4773146629333496
AEPQTMJK,0.390640127658844
S6FNZFKK,0.05362123847007751
JTYNEKRQ,0.7387810230255127
GPXDPHHC,0.05996928289532662
O8TMKNNB,0.05096942707896233
XSQVHKYG,0.05259445011615753
MJ3CZRAE,0.021473813429474832
3NSQEYBJ,0.5635403394699097
SXVBASGH,0.05069834142923355
5ZIGZYSS,0.046915686875581744
FQSHBCUT,0.4725546896457672
MU45XUBP,0.05015034228563309
BVULDPBI,0.06780566275119781
82GRNPFG,0.4269549548625946
KKBNELBF,0.04063956215977669
HXQGBDGY,0.050064615160226825
28HDZICG,0.7124682426452636
GHBPKPJC,0.0503118596971035
FDWZFSSC,0.5805868268013
FWTIWZF3,0.055839980393648146
JYMHVPMY,0.03657464422285557
AHUDO2T6,0.5911453366279602
ACDHABS3,0.4050345361232758
5NTYJJDV,0.07266322076320648
2M4VPY4V,0.08985209316015244
KAHP9XLF,0.08475589901208877
YRLEWZFQ,0.11102598309516906
JZWVLXHJ,0.2812555909156799
JZZSXUKT,0.45132964849472046
93RURE2J,0.3777298629283905
4RNB6FDV,0.24662382602691652
27E7HMMG,0.13113514333963394
2QEFQQWN,0.05357100516557693
DDTCD2XI,0.08527493178844452
VGVEYSEG,0.42218309044837954
WCXVE7RK,0.048930320888757706
RTN4R3UE,0.03892445489764214
K2PVS4RB,0.05732402876019478
Q36J686Z,0.09894227534532547
NWKHMEOF,0.13326530754566193
PVJYQQGT,0.46591737270355227
GPUMRNWC,0.05247416421771049
LXHCDSVH,0.17534250319004058
BNIUPSVK,0.07821366339921951
FW3QI3WW,0.08283643871545791
IEEUGXMY,0.20286499261856078
FVVXDLBO,0.05528582185506821
UC2JJB6Y,0.07058031260967254
3WPAHP52,0.6656019210815429
HDTCJJOE,0.6665440201759338
UCSB9GKK,0.07451627850532531
HANBFYTH,0.17626796066761016
FLUU2HNV,0.05339714139699936
64PIYWDJ,0.3521647036075592
9AHNH8ZX,0.3847098112106323
KLHUI2SE,0.056741496175527574
YRHYUJFW,0.5962883949279785
G5RWWH7F,0.2912176728248596
SCBT9BAX,0.020297851413488388
UGZGLVNB,0.4215631544589996
2RRNUFBV,0.6479469299316406
B6O59TEY,0.6025235295295716
CYHRRYH6,0.05314249321818352
GGYZVHWU,0.07130343019962311
K6AM97RN,0.0757893443107605
ATM5JQYM,0.0672954872250557
7GYZSGWA,0.04867726862430573
DFWUDQCR,0.27980092763900755
E2Z98CR3,0.42355104684829714
GD9KTSLY,0.052586039155721666
2AMRA4OD,0.14835297167301179
CFHZ3ZE6,0.5527860641479492
BOMLVM5K,0.05464717000722885
OBBEGBSY,0.6155747652053833
FJEHOK8W,0.0378392331302166
3GMAEVPJ,0.14818995893001558
WAVDLUTH,0.056484583765268326
6EN8GZX6,0.09936996847391129
VXGA3GKB,0.18472446799278258
U4MZ3U8C,0.654236376285553
GU4RDP8S,0.6560786366462708
N3TPNHCD,0.1548120617866516
JRRHWQC8,0.7434489965438843
NZ5GBHZK,0.0413383349776268
LCUC2LAJ,0.6194618225097657
DJDSU9D2,0.9357007026672364
647K6DBR,0.0635334886610508
7NFXVESK,0.06927616000175477
EWUWF25N,0.053875108063220975
7QKYPLA8,0.06366119757294655
XQVXWBNO,0.05357707440853119
CNWH4MVA,0.05507880449295044
AFJUJFQD,0.07363386303186417
QKMFDX9H,0.1790452629327774
YYMB5QBY,0.06968141794204712
IRY3SEX7,0.38242782950401305
CUAUZJH8,0.18081472516059877
JYFUYQF5,0.4309487700462341
I4NYEDFE,0.6721687316894531
M3RSPRGQ,0.12860033959150313
JIL3KWQN,0.11149644553661346
X4B5ZBWU,0.22289099991321565
AHYTHHSE,0.053785546123981474
E7EHQEQK,0.5049012660980224
FAMHAVN3,0.7079317927360534
CCGKCTR6,0.062483470886945724
6DTSELRV,0.05661017671227455
LU8X3G6O,0.24392945170402527
NPFDAUJY,0.0518278568983078
DR9PXCFU,0.024005983397364615
SHVZMWBV,0.05912959724664688
8TGXGZHX,0.21279922425746917
IKRSHJFW,0.18744822442531586
TYKRZDCP,0.6396595478057862
9IDA3L7P,0.10303856581449508
ASOWCMDB,0.06114364564418793
KZ5J2JGC,0.6519381880760193
D5UCFKTV,0.051117845624685285
2N8FFP7W,0.04359361007809639
SA36MTFS,0.02912706546485424
8UDMURUH,0.18589171767234802
7VSQV6QN,0.14351308941841126
IFUG9NC5,0.05149158611893654
EQXDLQRG,0.3111324429512024
JAR8YY9J,0.1316382184624672
BS4TAF6M,0.054420094937086105
WQJ9SPT9,0.2444487750530243
7QHT4ON2,0.05517659410834312
FNGPQN7B,0.12038076967000962
DDOMDZRU,0.7221254110336304
QYR9HXHP,0.3239336431026459
S4NGXFXY,0.019767238199710845
NOJ2KSCC,0.5547040820121765
ZD2JRUNB,0.5876238107681274
GZIPTSNN,0.07069099694490433
LCFYUVE9,0.6232109308242798
PPANVU9W,0.050526616722345354
DRPV9STB,0.07502526044845581
AFSPF3WZ,0.9742117643356323
GPXEUNND,0.5873154163360595
NSADMDSM,0.057827096432447433
CKWJU8RQ,0.6815382599830627
F7MNZSSU,0.05060630366206169
BDGVMPZY,0.6987216830253601
IA3MSRTR,0.0870335042476654
JD3WTPMG,0.41932679414749147
QT6DF6EW,0.6553992629051208
NVDEMCZ2,0.05330813676118851
9B6UTJVT,0.06239894479513168
U6QYES9J,0.0218048058450222
DZQPDSPS,0.13790044486522673
CRGXVSBF,0.18263897001743318
XIHJYS2V,0.7338669657707214
7X2MC5GZ,0.6633863329887391
ZBDVXTM5,0.04979495033621788
UUBQPBR5,0.07253760248422622
CUMZFBTD,0.10472405552864075
E7QXYSQN,0.022725003212690352
6UQAJP48,0.09192394018173218
QHWB768Y,0.05326110571622848
R6RXMXOJ,0.2947554051876068
WXQGZG5K,0.03694724291563034
GCUFKLHG,0.05357252061367035
SJX4372M,0.05273028984665871
VGEAMUZZ,0.12625000029802322
ZWDXVKDF,0.3830480217933655
WGMRCYLR,0.053206149488687515
SI43K5CY,0.13453817665576934
DSNBS2RS,0.16507756412029267
XIMZCKSR,0.5385390639305114
VEW9FXHT,0.018855908885598183
JZJHDDDJ,0.5311427116394043
4TYUR5HA,0.566674554347992
UHCDFDRX,0.33804985880851746
E5QMOFUM,0.14409781694412233
PSNVWDZH,0.05928210988640785
5IQSWONG,0.056314551085233686
CEAZEPY4,0.9828169822692872
2TNRJXRX,0.023627116903662683
BFROCARA,0.04706268310546875
GRTJMRKM,0.019299772381782532
6EDAM4EU,0.08249306231737137
NRDB58KL,0.04800720140337944
TCPJCWZR,0.03839889466762543
KG8LD2BE,0.037913375347852704
FHZ3XFDV,0.1298661172389984
NZKCSDZ4,0.17715427577495574
6DG6KJG4,0.051257312297821045
BVPKDUNU,0.3791355490684509
APR4PQ6X,0.07394171357154847
HPWS8YFG,0.1852848559617996
VRPBGTPU,0.05595716014504433
XBCSX7G7,0.0762937307357788
KEH3G8UA,0.16925855875015258
WXNAVFLT,0.04974738508462906
8J8NJ7M6,0.15939251184463502
D4UW7Y85,0.05543192923069
SZRESXN7,0.05281003788113594
UUQSXK5T,0.055832048505544664
GPMUKOVY,0.4748669803142548
6FYOKAZ5,0.27464003562927247
ENUB4N9S,0.21236080825328826
KERBCSGE,0.9853864073753357
7HTA4C6J,0.6377926230430603
4BTVMT6W,0.05501493439078331
MR3J9USD,0.27344056963920593
7S83FNQW,0.6828349232673645
MSOKLC7S,0.022526800259947778
GFMNATHU,0.04266357123851776
NG4ABA6H,0.9661787033081055
3GFHRAQY,0.39969820976257325
BCSGZZPE,0.13699892163276672
PQ9MCGZC,0.08466145545244216
K7N596CG,0.05434376746416092
8RUL6JEE,0.06816916316747665
CVOFJRMP,0.0603293776512146
B4FQX4HG,0.07839183211326599
W7HAQKDV,0.056458857655525205
8C5PKJ7G,0.05871275886893272
E4GQJZSQ,0.03991953879594803
UENREGNV,0.6547325611114502
CC4LYHEW,0.45299926996231077
GDKGLTBT,0.06494770720601081
G3ER8CGX,0.053827901184558866
ZG4KT59X,0.024669907987117767
LW93KJMZ,0.6069361567497253
9AR5FBSQ,0.601686704158783
FHLWDMRV,0.1380809098482132
EON5DCWD,0.9324181914329529
J8UXTMYV,0.37608479857444765
IXBW5HZH,0.053578934818506244
LDHQB458,0.05332314819097519
GNHTIKF3,0.048221314698457717
8NO22KTE,0.02392265051603317
SGJFSSJK,0.1751040995121002
TD8D3NDD,0.05564074143767357
8RQ27JGU,0.3941218316555023
A8GKBMBO,0.3590232074260712
ODVMNUDE,0.6591984748840332
EA5CRL7L,0.05070051923394203
6UI7RPCH,0.4332174599170685
7BJYM94L,0.05182937756180763
X3PZJF7F,0.622633695602417
YCSSMPV7,0.6693433403968811
4EV9VXL8,0.5948605060577392
IPNJFQTY,0.29433565139770507
XPWNJRJC,0.03338649608194828
